ITE,PR,CATEGORY,ITEM,ITEM,QUANTITY,RPRT,AVERAGE,RECENT,ADJUSTMENTS,
LOC,CA,DESCRIPTION,NUMBER,DESCRIPTION,ON HAND,UOM,COST,COST,QUANTITY,COST/TON
550 ,02 ,DAIRY MIXED FEEDS,1707P,MICRO-AID PREMIX,364.42,LB,0.54723,0.575,0,1094.46
550 ,02 ,DAIRY MIXED FEEDS,1708P,.06% SELENIUM PREMIX,2239.2227,LB,0.09322,0.085,0,186.44
550 ,02 ,DAIRY MIXED FEEDS,1709P,STRESS PAK,900.907,LB,0.76605,0.766,0,1532.1
550 ,02 ,DAIRY MIXED FEEDS,1710P,BIG E PLUS PREMIX (50#),4893.3788,LB,0.72876,0.731,0,1457.52
550 ,02 ,DAIRY MIXED FEEDS,1711P,ORGANIC .06 % SELENIUM PR,602.9122,LB,0.7759,0.773,0,1551.8
550 ,06 ,MILL INGREDIENTS,0004 ,L-LYSINE HCL 98.5%,30,LB,1.38367,1.38367,0,2767.34
550 ,06 ,MILL INGREDIENTS,0052 ,CALCIUM SULFATE,14304.9384,LB,0.1105,0.11049,0,221
550 ,06 ,MILL INGREDIENTS,0053 ,POTASSIUM CHLORIDE,2324.0076,LB,0.32728,0.32675,0,654.56
550 ,06 ,MILL INGREDIENTS,0055 ,MAGNESIUM SULFATE,3808.8488,LB,0.27841,0.27875,0,556.82
550 ,06 ,MILL INGREDIENTS,0086 ,YEAST CULTURE XP - SACK,2100,LB,0.4404,0,0,880.8
550 ,06 ,MILL INGREDIENTS,0093 ,VITAMIN E-227000,137.474,LB,5.91552,5.87536,0,11831.04
550 ,06 ,MILL INGREDIENTS,0095 ,DL-METHIONINE,137.584,LB,2.03534,2.03548,0,4070.68
550 ,06 ,MILL INGREDIENTS,0102 ,STEAMED FLAKED CORN,7068.432,LB,0.22048,0.23192,0,440.96
550 ,06 ,MILL INGREDIENTS,0122 ,GROUND ALFALFA PELLETS,959.4625,LB,0.34612,0,0,692.24
550 ,06 ,MILL INGREDIENTS,0129 ,MOLASSES,1586.4086,LB,0.11989,0.11995,0,239.78
550 ,06 ,MILL INGREDIENTS,0130 ,TALLOW,12242.3136,LB,0.41962,0.4225,0,839.24
550 ,06 ,MILL INGREDIENTS,0132 ,CALCIUM CARBONATE,80094.5503,LB,0.02794,0.02793,0,55.88
550 ,06 ,MILL INGREDIENTS,0133 ,UREA - SACKED,12221.4078,LB,0.24795,0.24711,0,495.9
550 ,06 ,MILL INGREDIENTS,0134 ,"SALT, MIXING - BULK      ",55162.828,LB,0.06249,0.0627,0,124.98
550 ,06 ,MILL INGREDIENTS,0147 ,MONO-CAL PHOSPHATE 21%,63093.4821,LB,0.33701,0.337,0,674.02
550 ,06 ,MILL INGREDIENTS,0156 ,MONOAMMONIUM PHOSPHATE,1435.2108,LB,0.61358,0.61275,0,1227.16
550 ,06 ,MILL INGREDIENTS,0157 ,BUFFER-SODA BULK,22448.7162,LB,0.17009,0.1701,0,340.18
550 ,06 ,MILL INGREDIENTS,0179 ,COPPER SULFATE,2260,LB,1.15976,1.14475,0,2319.52
550 ,06 ,MILL INGREDIENTS,0183 ,CA SALT OF FA,12517.413,LB,0.53561,0.621,0,1071.22
550 ,06 ,MILL INGREDIENTS,0184 ,AMMONIUM CHLORIDE,100,LB,0.4931,0.4931,0,986.2
550 ,06 ,MILL INGREDIENTS,0190 ,MAGNESIUM OXIDE - SACKED,21740.3564,LB,0.22265,0.22241,0,445.3
550 ,06 ,MILL INGREDIENTS,0194 ,DAIRY VTM PREMIX,3870.9973,LB,0.93211,0.93175,0,1864.22
550 ,06 ,MILL INGREDIENTS,0203 ,RUMENSIN 20 G / LB,6844.6273,LB,1.99891,1.97875,0,3997.82
550 ,06 ,MILL INGREDIENTS,0267 ,DCAD PLUS,5675.714,LB,0.77537,0.82045,0,1550.74
550 ,06 ,MILL INGREDIENTS,0281 ,PELLET BINDER,4389.95,LB,0.40079,0.35261,0,801.58
550 ,06 ,MILL INGREDIENTS,0304 ,HOLTZ NELSON DAIRY VTM,275,LB,2.03,2.03,0,4060
550 ,06 ,MILL INGREDIENTS,0305 ,OMNIGEN AF,9137.3375,LB,0.98079,0.98084,0,1961.58
550 ,06 ,MILL INGREDIENTS,0318 ,REASHURE CHOLINE,2597.308,LB,2.17556,2.1755,0,4351.12
550 ,06 ,MILL INGREDIENTS,0382 ,Altosid (IGR) Premix,108.73,LB,4.24952,4.2518,0,8499.04
550 ,06 ,MILL INGREDIENTS,0392 ,MFP METHIONINE,380.357,LB,1.90445,1.82538,0,3808.9
550 ,06 ,MILL INGREDIENTS,0456 ,FERMENTURE YEAST,1318.358,LB,2.26442,2.26598,0,4528.84
550 ,06 ,MILL INGREDIENTS,0490 ,SMARTAMINE,57.214,LB,6.86895,6.86432,0,13737.9
550 ,06 ,MILL INGREDIENTS,0495 ,DEXTROSE,690.7648,LB,0.48478,0.46476,0,969.56
550 ,06 ,MILL INGREDIENTS,0513 ,ENERGY BOOSTER 100,13126.2544,LB,0.76034,0.76048,0,1520.68
550 ,06 ,MILL INGREDIENTS,0514 ,CCF TRACE PACK,1190.7958,LB,1.39759,1.398,0,2795.18
550 ,06 ,MILL INGREDIENTS,0523 ,KELP MEAL,1150.08,LB,0.72072,0.72075,0,1441.44
550 ,06 ,MILL INGREDIENTS,0529 ,AVAILA-4,1232.4758,LB,1.95005,1.94945,0,3900.1
550 ,06 ,MILL INGREDIENTS,0547 ,DAIRY SEY PREMIX,5422.6686,LB,0.99229,0.99175,0,1984.58
550 ,06 ,MILL INGREDIENTS,0554 ,METASMART DRY,820.981,LB,2.70012,2.7002,0,5400.24
550 ,06 ,MILL INGREDIENTS,0556 ,VICOMB P+,1076.694,LB,3.89908,3.26543,0,7798.16
550 ,06 ,MILL INGREDIENTS,0571 ,AB 20,11652.6132,LB,0.35128,0.35125,0,702.56
550 ,06 ,MILL INGREDIENTS,0581 ,DYNAMATE,8468.7,LB,0.28928,0.28975,0,578.56
550 ,06 ,MILL INGREDIENTS,0584 ,NUTRACOR LCFA,6377.372,LB,0.74,0.74,0,1480
550 ,06 ,MILL INGREDIENTS,0597 ,ZINPRO 100,0.0452,LB,2.43363,2.41778,0,4867.26
550 ,06 ,MILL INGREDIENTS,0598 ,ZINPRO 120,1151.935,LB,2.9065,2.90652,0,5813
550 ,06 ,MILL INGREDIENTS,0603 ,BIO-CHLOR,3800,LB,0.37844,0.3805,0,756.88
550 ,06 ,MILL INGREDIENTS,0604 ,4PLEX,303.064,LB,1.58244,1.63121,0,3164.88
550 ,06 ,MILL INGREDIENTS,0606 ,GEOBOND,550,LB,0.1358,0.1358,0,271.6
550 ,06 ,MILL INGREDIENTS,0616 ,SUGAR,6457.408,LB,0.2,0.2,0,400
550 ,06 ,MILL INGREDIENTS,0618 ,CALF PREMIX,4036.21,LB,1.86928,1.86793,0,3738.56
550 ,06 ,MILL INGREDIENTS,0619 ,FLAVOR-CALF AID,26.6914,LB,3.73191,3.732,0,7463.82
550 ,06 ,MILL INGREDIENTS,0620 ,BIO-MOS,330,LB,2.28727,2.28727,0,4574.54
550 ,06 ,MILL INGREDIENTS,0629 ,HOLTZ-NELSON RFIZ YEAST,250,LB,2.15,2.15,0,4300
550 ,06 ,MILL INGREDIENTS,0630 ,NIASHURE,101.9945,LB,8.06926,8.19255,0,16138.52
550 ,06 ,MILL INGREDIENTS,0631 ,BOVI-SACC,130.729,LB,2.45003,2.74956,0,4900.06
550 ,06 ,MILL INGREDIENTS,0632 ,DIAMOND V XPC,7288.1651,LB,1.39029,1.3905,0,2780.58
550 ,06 ,MILL INGREDIENTS,0639 ,LEVUCELL SC 10G,182.1,LB,1.30758,1.30772,0,2615.16
550 ,06 ,MILL INGREDIENTS,0647 ,Integral (MTB 100),333.474,LB,2.30759,2.31085,0,4615.18
550 ,06 ,MILL INGREDIENTS,0656 ,POULTRY / SWINE PREMIX,105,LB,1.12543,1.0912,0,2250.86
550 ,06 ,MILL INGREDIENTS,0662 ,BIOTIN 640,1233.688,LB,0.40215,0.40076,0,804.3
550 ,06 ,MILL INGREDIENTS,0665 ,FLAVOR-DRY (ANISE),35.21,LB,1.91394,2.228,0,3827.88
550 ,06 ,MILL INGREDIENTS,0759 ,AGRI-DAIRY MAX,2416.769,LB,3.57905,3.58,0,7158.1
550 ,06 ,MILL INGREDIENTS,0760 ,AGRI-DAIRY PREMIUM,0.09,LB,3.55556,3.58,0,7111.12
550 ,06 ,MILL INGREDIENTS,0762 ,AGRI-RUMEND,1003.77,LB,3.54997,3.55,0,7099.94
550 ,06 ,MILL INGREDIENTS,0764 ,AGRI-ZYMEND,731.97,LB,3.91901,3.95,0,7838.02
550 ,06 ,MILL INGREDIENTS,0765 ,AGRI-HEIFER PREMIX,0.05,LB,0.6,0.66,0,1200
550 ,06 ,MILL INGREDIENTS,0766 ,AGRI-HOOF KING,166.85,LB,3.02002,3.02,0,6040.04
550 ,06 ,MILL INGREDIENTS,0768 ,AGRI-TRI-LUTION RUMINANT,1100.1,LB,2.87478,3.06,0,5749.56
550 ,06 ,MILL INGREDIENTS,0810 ,PREQUEL,2064.6,LB,1.41145,1.40291,0,2822.9
550 ,06 ,MILL INGREDIENTS,0988 ,MOLD ZAP,1045.03,LB,1.07176,1.07175,0,2143.52
550 ,06 ,MILL INGREDIENTS,1247 ,MEGALAC R,140,LB,1.02657,1.027,0,2053.14
550 ,06 ,MILL INGREDIENTS,1712 ,SELENIUM .02% PREMIX,150,LB,0,0,0,0
550 ,06 ,MILL INGREDIENTS,1759 ,CLARIFLY PREMIX,175.629,LB,2.17624,2.1717,0,4352.48
550 ,06 ,MILL INGREDIENTS,1831 ,MOLASSES OUTSIDE,100.15,LB,0.11962,0.1179,0,239.24
550 ,06 ,MILL INGREDIENTS,1834 ,MFG 150,52.86,LB,0.45649,0.4565,0,912.98
550 ,06 ,MILL INGREDIENTS,2018 ,FCB NUT TRACE PAK,4378.85,LB,1.21943,1.22,0,2438.86
550 ,06 ,MILL INGREDIENTS,2128 ,METAATEIN,28904.3921,LB,0.56478,0.56,0,1129.56
550 ,06 ,MILL INGREDIENTS,2176 ,OMNIGEN WYC,2953.434,LB,1.29173,1.29175,0,2583.46
550 ,06 ,MILL INGREDIENTS,2178 ,SCREENINGS MEDICATED,21990,LB,0.0475,0.0475,0,95
550 ,06 ,MILL INGREDIENTS,2267 ,METASMART LIQUID,2773.275,LB,3.49286,3.49286,0,6985.72
550 ,06 ,MILL INGREDIENTS,2276 ,ANIMATE,2813.9192,LB,0.60368,0.59776,0,1207.36
550 ,06 ,MILL INGREDIENTS,2327 ,BNI LACTATING MINERAL,3276.305,LB,1.34498,1.34376,0,2689.96
550 ,06 ,MILL INGREDIENTS,2472 ,Metabolys,2303.011,LB,2.3043,2.54085,0,4608.6
550 ,06 ,MILL INGREDIENTS,4137 ,REDMOND GRANULAR SALT,1649.98,LB,0.24976,0.24975,0,499.52
550 ,06 ,MILL INGREDIENTS,4138 ,REDMOND CONDITIONER,1000.04,LB,0.27175,0.27175,0,543.5
550 ,06 ,MILL INGREDIENTS,4182 ,MIXING LIME,1700,LB,0.069,0.069,0,138
550 ,06 ,MILL INGREDIENTS,4370 ,PLAIN SALT 50# BAG,6200,LB,0.08988,0.0905,0,179.76
550 ,06 ,MILL INGREDIENTS,4371 ,TM SALT 50# BAG,2700,LB,0.12067,0.1205,0,241.34
550 ,06 ,MILL INGREDIENTS,4373 ,PLAIN SALT BLOCK 50#,3900,LB,0.12767,0.1285,0,255.34
550 ,06 ,MILL INGREDIENTS,4374 ,TM SALT BLOCK 50#,5450,LB,0.14448,0.1445,0,288.96
550 ,06 ,MILL INGREDIENTS,4392 ,LIME-SUREFOOT CALC 50#,2600,LB,0.07273,0.07275,0,145.46
550 ,06 ,MILL INGREDIENTS,4393 ,LIME-HYDRATED 50#,1850,LB,0.14676,0.14675,0,293.52
550 ,06 ,MILL INGREDIENTS,4394 ,SOLAR SALT 50#,2450,LB,0.11844,0.11844,0,236.88
550 ,10 ,MINERAL/VITAMIN PACK,1714P,VIT-ALL PREMIX,2198.274,LB,0.45528,0.451,0,910.56
550 ,10 ,MINERAL/VITAMIN PACK,B1098,BAGGED SOW MINERAL,1250,LB,0,0,0,0
550 ,10 ,MINERAL/VITAMIN PACK,B20812,SAFE-GUARD .5% DEWORMER,225,LB,2.5704,2.57404,0,5140.8
550 ,10 ,MINERAL/VITAMIN PACK,B21365,RFRS SUPDRY 3:1 MIN 50#,2600,LB,0.51422,0.50967,0,1028.44
550 ,10 ,MINERAL/VITAMIN PACK,B21375,RFRS SUPDRY 1:1 MIN 50#,3750,LB,0.58685,0.58017,0,1173.7
550 ,10 ,MINERAL/VITAMIN PACK,B40645,RICH-MIN 1:1 50#,550,LB,0.36182,0.354,0,723.64
550 ,10 ,MINERAL/VITAMIN PACK,B40755,RICH-MIN 2:1 50#,550,LB,0.30909,0.292,0,618.18
550 ,10 ,MINERAL/VITAMIN PACK,B45415,REFRESH DRY RU-1200 MIN,1850,LB,0.453,0.453,0,906
550 ,10 ,MINERAL/VITAMIN PACK,B45505,EQUITY HFR RU MINERAL,5450,LB,0.33115,0.331,0,662.3
550 ,10 ,MINERAL/VITAMIN PACK,B5105,MIN-A-MIX,3600,LB,0.4355,0.44924,0,871
550 ,10 ,MINERAL/VITAMIN PACK,B5125,HI-PHOS-MIX,400,LB,0.63918,0.63806,0,1278.36
550 ,10 ,MINERAL/VITAMIN PACK,B5152,MIN-A-VITE,100,LB,0.5782,0.5782,0,1156.4
550 ,10 ,MINERAL/VITAMIN PACK,B5415,KENT HEIFER MIN 1600B,500,LB,0.51946,0.517,0,1038.92
550 ,11 ,INOCULANT,176000 ,SIL-ALL 4x4 DRY INOCULANT,2035,LB,1.24091,1.24091,0,2481.82
550 ,11 ,INOCULANT,B9641,SIL-ALL 4x4 WS 500g,43,LB,34.9242,34.876,0,69848.4
550 ,1C,MANUFACTURED MINERAL,95150028 ,LARIBEE HEIFER RU MIN (50,500,LB,0.379,0.379,0,758
550 ,1C,MANUFACTURED MINERAL,95150032 ,PORTERDALE HEIFER MIN (50,850,LB,0.37259,0.372,0,745.18
550 ,1C,MANUFACTURED MINERAL,95150033 ,PORTERDALE DRY COW MIN (5,1450,LB,0.37279,0.373,0,745.58
550 ,1C,MANUFACTURED MINERAL,95150036 ,BUTTERVILLE HFR R MIN (TO,1968,LB,0.39,0.39,0,780
550 ,1C,MANUFACTURED MINERAL,95150037 ,BUTTERVILLE DRY COW MIN (,1971,LB,0.448,0.448,0,896
550 ,1C,MANUFACTURED MINERAL,95150077 ,BURGER M DRY MIN 01/17/11,-100,LB,0.574,0.574,0,1148
550 ,1C,MANUFACTURED MINERAL,95150085 ,PORTERDALE LACT R MIN 10/,1900,LB,0.196,0.196,0,392
550 ,1C,MANUFACTURED MINERAL,95150089 ,POMINVILLE LACT MIN (50#),950,LB,0.169,0.169,0,338
550 ,1C,MANUFACTURED MINERAL,95150090 ,CJK DRY COW AK MIN (50#),900,LB,0.554,0.554,0,1108
550 ,1M,MILK REPLACER,B21205,MF1 NT 1600/1600 W/MOS,10350,LB,1.25245,1.25298,0,2504.9
550 ,1M,MILK REPLACER,B21255,VELOCITY 24-17 NON-MED,7700,LB,1.4283,1.43198,0,2856.6
550 ,1M,MILK REPLACER,B21305,COMMERCIAL CALF NON-MED,5550,LB,1.14216,1.11383,0,2284.32
550 ,1M,MILK REPLACER,B21405,MILKY WAY GROWTH W/MOS,4150,LB,1.01914,1.01598,0,2038.28
550 ,1M,MILK REPLACER,B21455,ADV EXCELERATE NON-MED,6000,LB,1.54378,1.54398,0,3087.56
550 ,1M,MILK REPLACER,B22515,24/17 ACIDIFIED CALF MR,750,LB,1.57355,1.6015,0,3147.1
550 ,1M,MILK REPLACER,B22815,24/24 ACIDIFIED CALF MR,1600,LB,1.70729,1.7073,0,3414.58
550 ,1M,MILK REPLACER,B5025,"MILK FORMULA 1, NON-MED  ",28650,LB,1.16151,1.16198,0,2323.02
550 ,1M,MILK REPLACER,B5026,MILK FORMULA 1 WITH BOVAT,3900,LB,1.17048,1.17048,0,2340.96
550 ,1M,MILK REPLACER,B5065,MILK FORMULA 1 DQ,9600,LB,1.21923,1.19798,0,2438.46
550 ,CH,CALF & HEIFER,95150011 ,EVES G 31% DRY COW ML (50,1300,LB,0.24846,0.25,0,496.92
550 ,CH,CALF & HEIFER,95150013 ,CLINTSMAN R. DRY COW R ML,1200,LB,0.31,0.31,0,620
550 ,CH,CALF & HEIFER,B10530,Crystalyx Dry Cow Bio Blo,1800,LB,0.58575,0.58575,0,1171.5
550 ,CH,CALF & HEIFER,B10540,Crystalyx IGR Pro Bio Blo,400,LB,0.53615,0.53615,0,1072.3
550 ,CH,CALF & HEIFER,B10560,Crystalyx 30% Heifer Bio,600,LB,0.4797,0.46965,0,959.4
550 ,CH,CALF & HEIFER,B3800,ENERGILASS 12  250#,2250,LB,0.4096,0.4096,0,819.2
550 ,CH,CALF & HEIFER,B3840,ENERGILASS 16 DAIRY 250#,5000,LB,0.445,0.445,0,890
550 ,CH,CALF & HEIFER,B44615,ELITE CALF FLAKES 50#,12900,LB,0.21446,0.214,0,428.92
550 ,CH,CALF & HEIFER,B44625,ULTIMATE CALF PELLET,7100,LB,0.19874,0.198,0,397.48
550 ,CH,CALF & HEIFER,B44635,ELITE HEIFER 18% PELLET,7850,LB,0.14621,0.14,0,292.42
550 ,PF,PET FOOD,B11372,SONG MAKER,200,LB,0.4038,0.42425,0,807.6
550 ,PF,PET FOOD,B11375,SONG MAKER,400,LB,0.41665,0.4202,0,833.3
550 ,PF,PET FOOD,B11425,ULTRA CLEAN BLK SUNFLR,280,LB,0.44039,0.4247,0,880.78
550 ,PF,PET FOOD,B1415,KRUNCHIES,550,LB,0.40371,0.40423,0,807.42
550 ,PF,PET FOOD,B1425,NATURAL 26,400,LB,0.4045,0.40526,0,809
550 ,PF,PET FOOD,B17540,BARN CAT FOOD,1600,LB,0.4444,0.44504,0,888.8
550 ,PF,PET FOOD,B18375,FARM DOG 21,360,LB,0.31494,0.31153,0,629.88
550 ,SC,SEED CORN,BR23,SCHLESSMAN 946 L,50,LB,2.05,2.05,0,4100
550 ,SC,SEED CORN,BS309,SCHLESSMAN 868 DP,50,LB,2.38,2.38,0,4760
550 ,SC,SEED CORN,BS318,SCHLESSMAN SX516,50,LB,0,0,0,0
550 ,WI,WAREHOUSE ITEMS (BAG,B0R61,SS3X Dry Prop,500,LB,0.7166,0.7166,0,1433.2
550 ,WI,WAREHOUSE ITEMS (BAG,B0R93,SS3X Dry,450,LB,0.616,0.616,0,1232
550 ,WI,WAREHOUSE ITEMS (BAG,B10465,HI-TEST PLUS 20 -PEL 50#,2400,LB,0.2024,0.19627,0,404.8
550 ,WI,WAREHOUSE ITEMS (BAG,B11422,ULTRA CLEAN BLK SUNFLR,40,LB,0.3165,0.3165,0,633
550 ,WI,WAREHOUSE ITEMS (BAG,B11735,CARB-GUARD,150,LB,0.224,0.22432,0,448
550 ,WI,WAREHOUSE ITEMS (BAG,B15455,AB 20,1700,LB,0.35575,0.35576,0,711.5
550 ,WI,WAREHOUSE ITEMS (BAG,B18805,SHRED BEET PULP W/MOL,400,LB,0.3697,0.36971,0,739.4
550 ,WI,WAREHOUSE ITEMS (BAG,B19605,SENTINEL SENIOR,550,LB,0.30089,0.2996,0,601.78
550 ,WI,WAREHOUSE ITEMS (BAG,B19655,SENTINEL PERFORMANCE LS,2250,LB,0.32213,0.31623,0,644.26
550 ,WI,WAREHOUSE ITEMS (BAG,B19705,SENTINEL SAFE START,1400,LB,0.30181,0.30524,0,603.62
550 ,WI,WAREHOUSE ITEMS (BAG,B19755,SENTINEL GROW & EXCEL,5,50 ,15.512,15.512,0,31024
550 ,WI,WAREHOUSE ITEMS (BAG,B2055,SCRATCH FEED,50,LB,0.2246,0.23908,0,449.2
550 ,WI,WAREHOUSE ITEMS (BAG,B2125,COARSE CRACKED CORN,350,LB,0.21826,0.21686,0,436.52
550 ,WI,WAREHOUSE ITEMS (BAG,B21325,REFRSH CLSUP21 PEL 50#,1750,LB,0.27466,0.2748,0,549.32
550 ,WI,WAREHOUSE ITEMS (BAG,B21335,REFRSH CLSUP32 PEL 50#,2000,LB,0.34758,0.35171,0,695.16
550 ,WI,WAREHOUSE ITEMS (BAG,B23825,"HOMEFRESH EXTRAEGG PEL, 5",2500,LB,0.23114,0.22577,0,462.28
550 ,WI,WAREHOUSE ITEMS (BAG,B23845,"HOMEFRESH EXTRAEGG ML, 50",3150,LB,0.2279,0.22057,0,455.8
550 ,WI,WAREHOUSE ITEMS (BAG,B23925,"HOMEFRESH MF STR/GRW CRM,",1600,LB,0.27001,0.26857,0,540.02
550 ,WI,WAREHOUSE ITEMS (BAG,B24645,BYB ALL STOCK 14%,2450,LB,0.21103,0.20811,0,422.06
550 ,WI,WAREHOUSE ITEMS (BAG,B3035,HUTCH EXTRA 17 PELS,250,LB,0.23852,0.23808,0,477.04
550 ,WI,WAREHOUSE ITEMS (BAG,B3042,BUNNY 16 PELS,200,LB,0.2582,0.25587,0,516.4
550 ,WI,WAREHOUSE ITEMS (BAG,B4015,RIDER 12,400,LB,0.2364,0.23066,0,472.8
